Source,Target
4030,9421
4030,5554
4030,5554
4030,4030
4030,5554
4030,5553
6893,6893
6893,6893
6893,6893
6893,15584
6893,15592
6893,18994
6893,18994
6893,15584
6893,9416
6893,15592
6893,15584
6893,15584
6893,11335
6893,11335
6893,2509
6893,2509
6893,5600
6893,9419
6893,5588
6893,5595
6893,5598
6893,14071
6893,14071
6893,4030
6893,5554
6893,4222
6893,9416
6893,7464
6893,8128
6893,9421
6893,5554
6893,5554
6893,4030
6893,5554
6893,5553
6893,6893
6893,6893
6893,15584
6893,15592
6893,18994
6893,18994
6893,15584
6893,9416
6893,15592
6893,15584
6893,15584
6893,11335
6893,11335
6893,2509
6893,2509
6893,5600
6893,9419
6893,5588
6893,5595
6893,5598
6893,14071
6893,14071
6893,4030
6893,5554
6893,4222
6893,9416
6893,7464
6893,8128
6893,9421
6893,5554
6893,5554
6893,4030
6893,5554
6893,5553
6893,6893
6893,15584
6893,15592
6893,18994
6893,18994
6893,15584
6893,9416
6893,15592
6893,15584
6893,15584
6893,11335
6893,11335
6893,2509
6893,2509
6893,5600
6893,9419
6893,5588
6893,5595
6893,5598
6893,14071
6893,14071
6893,4030
6893,5554
6893,4222
6893,9416
6893,7464
6893,8128
6893,9421
6893,5554
6893,5554
6893,4030
6893,5554
6893,5553
6893,15584
6893,15592
6893,18994
6893,18994
6893,15584
6893,9416
6893,15592
6893,15584
6893,15584
6893,11335
6893,11335
6893,2509
6893,2509
6893,5600
6893,9419
6893,5588
6893,5595
6893,5598
6893,14071
6893,14071
6893,4030
6893,5554
6893,4222
6893,9416
6893,7464
6893,8128
6893,9421
6893,5554
6893,5554
6893,4030
6893,5554
6893,5553
15584,15592
15584,18994
15584,18994
15584,15584
15584,9416
15584,15592
15584,15584
15584,15584
15584,11335
15584,11335
15584,2509
15584,2509
15584,5600
15584,9419
15584,5588
15584,5595
15584,5598
15584,14071
15584,14071
15584,4030
15584,5554
15584,4222
15584,9416
15584,7464
15584,8128
15584,9421
15584,5554
15584,5554
15584,4030
15584,5554
15584,5553
15592,18994
15592,18994
15592,15584
15592,9416
15592,15592
15592,15584
15592,15584
15592,11335
15592,11335
15592,2509
15592,2509
15592,5600
15592,9419
15592,5588
15592,5595
15592,5598
15592,14071
15592,14071
15592,4030
15592,5554
15592,4222
15592,9416
15592,7464
15592,8128
15592,9421
15592,5554
15592,5554
15592,4030
15592,5554
15592,5553
18994,18994
18994,15584
18994,9416
18994,15592
18994,15584
18994,15584
18994,11335
18994,11335
18994,2509
18994,2509
18994,5600
18994,9419
18994,5588
18994,5595
18994,5598
18994,14071
18994,14071
18994,4030
18994,5554
18994,4222
18994,9416
18994,7464
18994,8128
18994,9421
18994,5554
18994,5554
18994,4030
18994,5554
18994,5553
18994,15584
18994,9416
18994,15592
18994,15584
18994,15584
18994,11335
18994,11335
18994,2509
18994,2509
18994,5600
18994,9419
18994,5588
18994,5595
18994,5598
18994,14071
18994,14071
18994,4030
18994,5554
18994,4222
18994,9416
18994,7464
18994,8128
18994,9421
18994,5554
18994,5554
18994,4030
18994,5554
18994,5553
15584,9416
15584,15592
15584,15584
15584,15584
15584,11335
15584,11335
15584,2509
15584,2509
15584,5600
15584,9419
15584,5588
15584,5595
15584,5598
15584,14071
15584,14071
15584,4030
15584,5554
15584,4222
15584,9416
15584,7464
15584,8128
15584,9421
15584,5554
15584,5554
15584,4030
15584,5554
15584,5553
9416,15592
9416,15584
9416,15584
9416,11335
9416,11335
9416,2509
9416,2509
9416,5600
9416,9419
9416,5588
9416,5595
9416,5598
9416,14071
9416,14071
9416,4030
9416,5554
9416,4222
9416,9416
9416,7464
9416,8128
9416,9421
9416,5554
9416,5554
9416,4030
9416,5554
9416,5553
15592,15584
15592,15584
15592,11335
15592,11335
15592,2509
15592,2509
15592,5600
15592,9419
15592,5588
15592,5595
15592,5598
15592,14071
15592,14071
15592,4030
15592,5554
15592,4222
15592,9416
15592,7464
15592,8128
15592,9421
15592,5554
15592,5554
15592,4030
15592,5554
15592,5553
15584,15584
15584,11335
15584,11335
15584,2509
15584,2509
15584,5600
15584,9419
15584,5588
15584,5595
15584,5598
15584,14071
15584,14071
15584,4030
15584,5554
15584,4222
15584,9416
15584,7464
15584,8128
15584,9421
15584,5554
15584,5554
15584,4030
15584,5554
15584,5553
15584,11335
15584,11335
15584,2509
15584,2509
15584,5600
15584,9419
15584,5588
15584,5595
15584,5598
15584,14071
15584,14071
15584,4030
15584,5554
15584,4222
15584,9416
15584,7464
15584,8128
15584,9421
15584,5554
15584,5554
15584,4030
15584,5554
15584,5553
11335,11335
11335,2509
11335,2509
11335,5600
11335,9419
11335,5588
11335,5595
11335,5598
11335,14071
11335,14071
11335,4030
11335,5554
11335,4222
11335,9416
11335,7464
11335,8128
11335,9421
11335,5554
11335,5554
11335,4030
11335,5554
11335,5553
11335,2509
11335,2509
11335,5600
11335,9419
11335,5588
11335,5595
11335,5598
11335,14071
11335,14071
11335,4030
11335,5554
11335,4222
11335,9416
11335,7464
11335,8128
11335,9421
11335,5554
11335,5554
11335,4030
11335,5554
11335,5553
2509,2509
2509,5600
2509,9419
2509,5588
2509,5595
2509,5598
2509,14071
2509,14071
2509,4030
2509,5554
2509,4222
2509,9416
2509,7464
2509,8128
2509,9421
2509,5554
2509,5554
2509,4030
2509,5554
2509,5553
2509,5600
2509,9419
2509,5588
2509,5595
2509,5598
2509,14071
2509,14071
2509,4030
2509,5554
2509,4222
2509,9416
2509,7464
2509,8128
2509,9421
2509,5554
2509,5554
2509,4030
2509,5554
2509,5553
5600,9419
5600,5588
5600,5595
5600,5598
5600,14071
5600,14071
5600,4030
5600,5554
5600,4222
5600,9416
5600,7464
5600,8128
5600,9421
5600,5554
5600,5554
5600,4030
5600,5554
5600,5553
9419,5588
9419,5595
9419,5598
9419,14071
9419,14071
9419,4030
9419,5554
9419,4222
9419,9416
9419,7464
9419,8128
9419,9421
9419,5554
9419,5554
9419,4030
9419,5554
9419,5553
5588,5595
5588,5598
5588,14071
5588,14071
5588,4030
5588,5554
5588,4222
5588,9416
5588,7464
5588,8128
5588,9421
5588,5554
5588,5554
5588,4030
5588,5554
5588,5553
5595,5598
5595,14071
5595,14071
5595,4030
5595,5554
5595,4222
5595,9416
5595,7464
5595,8128
5595,9421
5595,5554
5595,5554
5595,4030
5595,5554
5595,5553
5598,14071
5598,14071
5598,4030
5598,5554
5598,4222
5598,9416
5598,7464
5598,8128
5598,9421
5598,5554
5598,5554
5598,4030
5598,5554
5598,5553
14071,14071
14071,4030
14071,5554
14071,4222
14071,9416
14071,7464
14071,8128
14071,9421
14071,5554
14071,5554
14071,4030
14071,5554
14071,5553
14071,4030
14071,5554
14071,4222
14071,9416
14071,7464
14071,8128
14071,9421
14071,5554
14071,5554
14071,4030
14071,5554
14071,5553
4030,5554
4030,4222
4030,9416
4030,7464
4030,8128
4030,9421
4030,5554
4030,5554
4030,4030
4030,5554
4030,5553
5554,4222
5554,9416
5554,7464
5554,8128
5554,9421
5554,5554
5554,5554
5554,4030
5554,5554
5554,5553
4222,9416
4222,7464
4222,8128
4222,9421
4222,5554
4222,5554
4222,4030
4222,5554
4222,5553
9416,7464
9416,8128
9416,9421
9416,5554
9416,5554
9416,4030
9416,5554
9416,5553
7464,8128
7464,9421
7464,5554
7464,5554
7464,4030
7464,5554
7464,5553
8128,9421
8128,5554
8128,5554
8128,4030
8128,5554
8128,5553
9421,5554
9421,5554
9421,4030
9421,5554
9421,5553
5554,5554
5554,4030
5554,5554
5554,5553
5554,4030
5554,5554
5554,5553
4030,5554
4030,5553
5554,5553
2827,2894
2827,1637
2827,1629
2827,2450
2894,1637
2894,1629
2894,2450
1637,1629
1637,2450
1629,2450
4765,2182
4765,1334
4765,1380
2182,1334
2182,1380
1334,1380
6312,6262
6312,6262
6312,12157
6262,6262
6262,12157
6262,12157
2509,2559
6758,8657
6758,6830
8657,6830
1334,4281
12428,2509
1805,2509
1805,9610
2509,9610
22436,22254
8173,6558
3587,2509
855,2817
855,9630
2817,9630
6432,1014
6432,2007
6432,5047
6432,7608
6432,7608
1014,2007
1014,5047
1014,7608
1014,7608
2007,5047
2007,7608
2007,7608
5047,7608
5047,7608
7608,7608
5588,7563
5588,2509
5588,6413
7563,2509
7563,6413
2509,6413
6559,2951
6758,1334
6262,2509
6262,18727
2509,18727
2509,857
6068,2509
6068,5782
6068,3554
2509,5782
2509,3554
5782,3554
12428,16226
12428,4811
12428,5014
16226,4811
16226,5014
4811,5014
6512,6830
304,9610
10377,4031
10377,5553
10377,12428
10377,12428
4031,5553
4031,12428
4031,12428
5553,12428
5553,12428
12428,12428
2509,2631
2509,470
2509,469
2631,470
2631,469
470,469
3587,7608
3587,7660
3587,470
3587,469
7608,7660
7608,470
7608,469
7660,470
7660,469
470,469
16226,9446
16226,1874
9446,1874
15400,13946
2559,2509
1334,3449
1334,1484
3449,1484
2509,5047
2509,2559
2509,10322
5047,2559
5047,10322
2559,10322
2559,2509
2559,1334
2559,8890
2559,10699
2559,1834
2559,855
2509,1334
2509,8890
2509,10699
2509,1834
2509,855
1334,8890
1334,10699
1334,1834
1334,855
8890,10699
8890,1834
8890,855
10699,1834
10699,855
1834,855
3442,2509
2509,304
21785,19491
21785,3046
21785,6312
21785,988
19491,3046
19491,6312
19491,988
3046,6312
3046,988
6312,988
2007,2112
2007,3442
2007,857
2112,3442
2112,857
3442,857
18823,19767
18823,7608
18823,8173
19767,7608
19767,8173
7608,8173
10511,5047
10511,7608
10511,9446
5047,7608
5047,9446
7608,9446
6830,7608
304,4281
304,6559
4281,6559
2509,2559
7608,2509
7608,16226
2509,16226
4882,2509
4882,3442
2509,3442
7735,7608
7735,1201
7735,13946
7608,1201
7608,13946
1201,13946
8173,6312
6262,7608
8173,12438
8173,1938
8173,1938
12438,1938
12438,1938
1938,1938
8637,12667
8637,2559
8637,2509
8637,7247
8637,5249
8637,4757
8637,11668
12667,2559
12667,2509
12667,7247
12667,5249
12667,4757
12667,11668
2559,2509
2559,7247
2559,5249
2559,4757
2559,11668
2509,7247
2509,5249
2509,4757
2509,11668
7247,5249
7247,4757
7247,11668
5249,4757
5249,11668
4757,11668
2559,3327
1983,2602
1983,3646
1983,9638
1983,9379
2602,3646
2602,9638
2602,9379
3646,9638
3646,9379
9638,9379
5134,6312
5134,7660
6312,7660
7366,15245
7366,6262
7366,6330
7366,15304
7366,6559
15245,6262
15245,6330
15245,15304
15245,6559
6262,6330
6262,15304
6262,6559
6330,15304
6330,6559
15304,6559
9411,10450
9411,9610
10450,9610
2509,6758
2559,2509
8173,304
13946,2509
13946,16226
2509,16226
2509,7608
2509,6349
2509,2007
7608,6349
7608,2007
6349,2007
4573,1867
4573,3442
4573,6559
4573,2695
1867,3442
1867,6559
1867,2695
3442,6559
3442,2695
6559,2695
2509,7660
2509,6616
7660,6616
8173,9599
1827,1334
1827,167
1827,682
1334,167
1334,682
167,682
11424,6893
11424,8173
11424,6262
11424,6312
6893,8173
6893,6262
6893,6312
8173,6262
8173,6312
6262,6312
1334,3327
10322,2559
10322,16226
2559,16226
7132,8173
7132,3402
7132,6358
8173,3402
8173,6358
3402,6358
6312,6262
2853,4281
2853,6512
4281,6512
6490,3102
6490,1829
6490,8173
6490,2894
3102,1829
3102,8173
3102,2894
1829,8173
1829,2894
8173,2894
2559,2509
13946,2509
13946,2007
13946,7660
13946,24897
13946,7608
13946,19016
13946,4672
13946,7124
13946,348
13946,45
13946,226
13946,219
2509,2007
2509,7660
2509,24897
2509,7608
2509,19016
2509,4672
2509,7124
2509,348
2509,45
2509,226
2509,219
2007,7660
2007,24897
2007,7608
2007,19016
2007,4672
2007,7124
2007,348
2007,45
2007,226
2007,219
7660,24897
7660,7608
7660,19016
7660,4672
7660,7124
7660,348
7660,45
7660,226
7660,219
24897,7608
24897,19016
24897,4672
24897,7124
24897,348
24897,45
24897,226
24897,219
7608,19016
7608,4672
7608,7124
7608,348
7608,45
7608,226
7608,219
19016,4672
19016,7124
19016,348
19016,45
19016,226
19016,219
4672,7124
4672,348
4672,45
4672,226
4672,219
7124,348
7124,45
7124,226
7124,219
348,45
348,226
348,219
45,226
45,219
226,219
8173,2631
295,847
295,167
847,167
2509,6376
2509,304
6376,304
2509,7608
2509,8637
7608,8637
6249,6559
1562,19355
1562,12428
1562,5249
19355,12428
19355,5249
12428,5249
470,469
470,2559
470,2509
469,2559
469,2509
2559,2509
21999,3786
21999,3076
21999,6829
21999,470
21999,11632
21999,3442
21999,6559
21999,3288
3786,3076
3786,6829
3786,470
3786,11632
3786,3442
3786,6559
3786,3288
3076,6829
3076,470
3076,11632
3076,3442
3076,6559
3076,3288
6829,470
6829,11632
6829,3442
6829,6559
6829,3288
470,11632
470,3442
470,6559
470,3288
11632,3442
11632,6559
11632,3288
3442,6559
3442,3288
6559,3288
11083,7172
11083,11908
11083,18727
11083,855
11083,6312
11083,855
11083,7123
7172,11908
7172,18727
7172,855
7172,6312
7172,855
7172,7123
11908,18727
11908,855
11908,6312
11908,855
11908,7123
18727,855
18727,6312
18727,855
18727,7123
855,6312
855,855
855,7123
6312,855
6312,7123
855,7123
7660,10450
304,2509
304,6262
2509,6262
6349,2182
6349,15830
6349,1486
2182,15830
2182,1486
15830,1486
2509,857
857,857
857,1334
857,2182
857,2815
857,2675
857,1334
857,2182
857,2815
857,2675
1334,2182
1334,2815
1334,2675
2182,2815
2182,2675
2815,2675
2509,304
2509,6457
304,6457
16226,7608
9416,7608
9416,7608
9416,18727
7608,7608
7608,18727
7608,18727
3442,4131
3442,45
3442,3442
3442,1961
3442,5133
4131,45
4131,3442
4131,1961
4131,5133
45,3442
45,1961
45,5133
3442,1961
3442,5133
1961,5133
6758,8173
6758,7563
8173,7563
6512,8173
7721,7132
7721,6558
7132,6558
205,1334
205,1334
205,4342
1334,1334
1334,4342
1334,4342
7660,13946
7660,6758
13946,6758
12428,6559
2509,6312
2509,6423
6312,6423
1334,6830
6758,1637
6758,2509
6758,7366
1637,2509
1637,7366
2509,7366
6616,7608
2509,7608
2509,2559
2509,9098
2559,9098
5553,5802
5553,4030
5553,8657
5553,3327
5553,304
5802,4030
5802,8657
5802,3327
5802,304
4030,8657
4030,3327
4030,304
8657,3327
8657,304
3327,304
304,6559
304,14099
6559,14099
9379,2509
304,3327
8657,304
8657,5760
8657,4031
8657,2509
8657,329
304,5760
304,4031
304,2509
304,329
5760,4031
5760,2509
5760,329
4031,2509
4031,329
2509,329
2182,2559
9610,6758
2654,6829
2654,2559
2654,2509
6829,2559
6829,2509
2559,2509
3442,6559
9658,304
9658,6559
9658,9379
9658,6558
9658,6262
9658,6616
304,6559
304,9379
304,6558
304,6262
304,6616
6559,9379
6559,6558
6559,6262
6559,6616
9379,6558
9379,6262
9379,6616
6558,6262
6558,6616
6262,6616
6898,6830
6512,1334
6512,9403
1334,9403
7123,7608
7123,2509
7608,2509
6559,9599
6559,3322
9599,3322
304,4281
304,6262
4281,6262
205,205
2406,6559
3087,1334
3087,3909
1334,3909
6758,6559
6758,8657
6559,8657
19227,7608
14363,21447
14363,10450
21447,10450
2509,2559
5249,6758
5249,6830
6758,6830
22667,2537
22667,9779
22667,855
2537,9779
2537,855
9779,855
682,6559
682,1334
6559,1334
6758,2509
6758,857
2509,857
7608,7608
3239,5622
3239,4531
3239,4531
3239,2406
3239,2509
3239,2509
5622,4531
5622,4531
5622,2406
5622,2509
5622,2509
4531,4531
4531,2406
4531,2509
4531,2509
4531,2406
4531,2509
4531,2509
2406,2509
2406,2509
2509,2509
10585,15400
10585,10450
15400,10450
2559,18823
2559,4811
2559,7063
2559,2509
2559,2509
18823,4811
18823,7063
18823,2509
18823,2509
4811,7063
4811,2509
4811,2509
7063,2509
7063,2509
2509,2509
304,3327
4725,6758
4725,8458
4725,6830
6758,8458
6758,6830
8458,6830
6616,2398
6616,6829
6616,8173
2398,6829
2398,8173
6829,8173
2631,7660
2631,6266
2631,2914
2631,2654
7660,6266
7660,2914
7660,2654
6266,2914
6266,2654
2914,2654
6262,304
470,3442
470,6559
470,5554
470,5554
470,5553
470,5553
3442,6559
3442,5554
3442,5554
3442,5553
3442,5553
6559,5554
6559,5554
6559,5553
6559,5553
5554,5554
5554,5553
5554,5553
5554,5553
5554,5553
5553,5553
3327,304
4229,855
4229,6376
855,6376
6830,7608
2559,2509
2559,10726
2509,10726
857,7366
857,1201
857,315
857,304
7366,1201
7366,315
7366,304
1201,315
1201,304
315,304
16109,2631
2509,4531
2509,304
2509,9416
4531,304
4531,9416
304,9416
10450,3299
10450,3778
10450,2509
3299,3778
3299,2509
3778,2509
8173,6512
2509,2559
17958,4468
17958,857
17958,7608
17958,17958
4468,857
4468,7608
4468,17958
857,7608
857,17958
7608,17958
6559,6758
8173,1486
7608,7608
2509,8682
2509,469
2509,304
2509,469
2509,469
8682,469
8682,304
8682,469
8682,469
469,304
469,469
469,469
304,469
304,469
469,469
10117,5669
10117,2406
10117,6262
5669,2406
5669,6262
2406,6262
2509,2559
2509,2509
2559,2509
20864,8173
20864,6616
20864,6758
20864,16226
8173,6616
8173,6758
8173,16226
6616,6758
6616,16226
6758,16226
2509,2559
2559,2509
10450,7660
2007,2406
2007,7608
2406,7608
2509,8758
2559,6262
3442,329
3442,2509
329,2509
2995,8686
2995,2559
2995,2509
2995,3547
8686,2559
8686,2509
8686,3547
2559,2509
2559,3547
2509,3547
857,3327
857,857
3327,857
2509,851
5249,7608
5249,7660
5249,2007
5249,1562
5249,1533
5249,7366
5249,7366
7608,7660
7608,2007
7608,1562
7608,1533
7608,7366
7608,7366
7660,2007
7660,1562
7660,1533
7660,7366
7660,7366
2007,1562
2007,1533
2007,7366
2007,7366
1562,1533
1562,7366
1562,7366
1533,7366
1533,7366
7366,7366
9675,304
9675,6558
9675,6559
9675,2695
304,6558
304,6559
304,2695
6558,6559
6558,2695
6559,2695
6830,304
6457,8026
6457,10330
6457,3046
6457,1637
6457,6408
6457,6408
6457,1201
6457,2433
8026,10330
8026,3046
8026,1637
8026,6408
8026,6408
8026,1201
8026,2433
10330,3046
10330,1637
10330,6408
10330,6408
10330,1201
10330,2433
3046,1637
3046,6408
3046,6408
3046,1201
3046,2433
1637,6408
1637,6408
1637,1201
1637,2433
6408,6408
6408,1201
6408,2433
6408,1201
6408,2433
1201,2433
15066,988
15066,988
15066,1637
988,988
988,1637
988,1637
6616,24897
6616,6266
6616,16493
6616,12428
6616,8502
6616,5097
6616,10061
24897,6266
24897,16493
24897,12428
24897,8502
24897,5097
24897,10061
6266,16493
6266,12428
6266,8502
6266,5097
6266,10061
16493,12428
16493,8502
16493,5097
16493,10061
12428,8502
12428,5097
12428,10061
8502,5097
8502,10061
5097,10061
1478,847
1478,1385
847,1385
2559,9610
2406,2951
2406,1874
2406,4054
2951,1874
2951,4054
1874,4054
6413,6558
6413,6559
6558,6559
7224,16226
1381,376
1381,3449
1381,2827
1381,2216
376,3449
376,2827
376,2216
3449,2827
3449,2216
2827,2216
3442,7608
3442,8132
3442,4785
7608,8132
7608,4785
8132,4785
8173,6249
8173,5554
8173,5801
8173,5553
6249,5554
6249,5801
6249,5553
5554,5801
5554,5553
5801,5553
18823,16109
18823,12428
18823,2007
18823,470
18823,10171
16109,12428
16109,2007
16109,470
16109,10171
12428,2007
12428,470
12428,10171
2007,470
2007,10171
470,10171
21341,2509
21341,19263
21341,304
2509,19263
2509,304
19263,304
1334,2827
1334,2951
2827,2951
5047,9446
5047,9446
9446,9446
6423,2509
6423,7608
6423,7608
2509,7608
2509,7608
7608,7608
6560,8026
2853,470
2853,6262
2853,7608
470,6262
470,7608
6262,7608
6249,2654
6249,20864
6249,3759
6249,15425
6249,16023
2654,20864
2654,3759
2654,15425
2654,16023
20864,3759
20864,15425
20864,16023
3759,15425
3759,16023
15425,16023
6616,6758
6616,22254
6758,22254
12438,12438
12438,12438
12438,12438
12438,12428
12438,12438
12438,12438
12438,12428
12438,12438
12438,12428
12438,12428
5249,6312
5249,6262
6312,6262
6262,6249
7608,6262
6262,6312
6512,2509
9610,315
9610,2120
9610,4811
9610,304
9610,3554
9610,6312
9610,1562
315,2120
315,4811
315,304
315,3554
315,6312
315,1562
2120,4811
2120,304
2120,3554
2120,6312
2120,1562
4811,304
4811,3554
4811,6312
4811,1562
304,3554
304,6312
304,1562
3554,6312
3554,1562
6312,1562
20893,2509
20893,2559
20893,7211
20893,8047
2509,2559
2509,7211
2509,8047
2559,7211
2559,8047
7211,8047
7563,304
7563,8173
7563,3993
304,8173
304,3993
8173,3993
2509,7224
2559,2509
2559,4369
2509,4369
2509,9599
295,167
304,6262
2509,6249
2951,1334
2951,2827
2951,1533
1334,2827
1334,1533
2827,1533
7660,2509
7660,7608
2509,7608
2509,2559
2509,6262
2509,7464
2509,2120
2559,6262
2559,7464
2559,2120
6262,7464
6262,2120
7464,2120
2509,2559
6262,9658
2559,857
2509,7608
2509,4752
2509,7366
7608,4752
7608,7366
4752,7366
4757,2509
4757,3442
2509,3442
762,5554
762,2654
762,2942
762,1961
762,3786
762,1484
762,1334
762,4384
762,1201
762,17958
762,4031
762,5802
5554,2654
5554,2942
5554,1961
5554,3786
5554,1484
5554,1334
5554,4384
5554,1201
5554,17958
5554,4031
5554,5802
2654,2942
2654,1961
2654,3786
2654,1484
2654,1334
2654,4384
2654,1201
2654,17958
2654,4031
2654,5802
2942,1961
2942,3786
2942,1484
2942,1334
2942,4384
2942,1201
2942,17958
2942,4031
2942,5802
1961,3786
1961,1484
1961,1334
1961,4384
1961,1201
1961,17958
1961,4031
1961,5802
3786,1484
3786,1334
3786,4384
3786,1201
3786,17958
3786,4031
3786,5802
1484,1334
1484,4384
1484,1201
1484,17958
1484,4031
1484,5802
1334,4384
1334,1201
1334,17958
1334,4031
1334,5802
4384,1201
4384,17958
4384,4031
4384,5802
1201,17958
1201,4031
1201,5802
17958,4031
17958,5802
4031,5802
2007,9599
2007,6758
2007,470
9599,6758
9599,470
6758,470
2509,9599
4757,8173
4757,5249
4757,3442
4757,1629
4757,3368
4757,1637
4757,9660
8173,5249
8173,3442
8173,1629
8173,3368
8173,1637
8173,9660
5249,3442
5249,1629
5249,3368
5249,1637
5249,9660
3442,1629
3442,3368
3442,1637
3442,9660
1629,3368
1629,1637
1629,9660
3368,1637
3368,9660
1637,9660
9910,5308
9910,21443
9910,5308
9910,4765
9910,9910
9910,21443
9910,4765
9910,21447
9910,9910
5308,21443
5308,5308
5308,4765
5308,9910
5308,21443
5308,4765
5308,21447
5308,9910
21443,5308
21443,4765
21443,9910
21443,21443
21443,4765
21443,21447
21443,9910
5308,4765
5308,9910
5308,21443
5308,4765
5308,21447
5308,9910
4765,9910
4765,21443
4765,4765
4765,21447
4765,9910
9910,21443
9910,4765
9910,21447
9910,9910
21443,4765
21443,21447
21443,9910
4765,21447
4765,9910
21447,9910
6266,6758
7660,3608
7660,7608
7660,4369
3608,7608
3608,4369
7608,4369
2509,2559
7660,9648
21447,304
7608,8173
6830,6758
2509,2559
2559,2509
1486,6616
1486,7298
1486,7517
1486,7519
1486,6641
6616,7298
6616,7517
6616,7519
6616,6641
7298,7517
7298,7519
7298,6641
7517,7519
7517,6641
7519,6641
2509,16109
7608,6249
7608,8644
6249,8644
22254,22254
3176,6262
3176,2537
3176,10520
3176,6312
3176,2509
3176,5047
6262,2537
6262,10520
6262,6312
6262,2509
6262,5047
2537,10520
2537,6312
2537,2509
2537,5047
10520,6312
10520,2509
10520,5047
6312,2509
6312,5047
2509,5047
7211,7660
7211,7608
7211,4785
7660,7608
7660,4785
7608,4785
4811,2112
4811,2007
4811,2877
4811,9410
4811,2654
4811,12428
4811,9658
2112,2007
2112,2877
2112,9410
2112,2654
2112,12428
2112,9658
2007,2877
2007,9410
2007,2654
2007,12428
2007,9658
2877,9410
2877,2654
2877,12428
2877,9658
9410,2654
9410,12428
9410,9658
2654,12428
2654,9658
12428,9658
6413,6559
3625,17981
3625,7132
3625,7132
3625,7134
3625,8657
3625,8758
3625,6457
3625,6266
3625,6138
3625,6138
3625,6138
3625,348
3625,348
3625,348
17981,7132
17981,7132
17981,7134
17981,8657
17981,8758
17981,6457
17981,6266
17981,6138
17981,6138
17981,6138
17981,348
17981,348
17981,348
7132,7132
7132,7134
7132,8657
7132,8758
7132,6457
7132,6266
7132,6138
7132,6138
7132,6138
7132,348
7132,348
7132,348
7132,7134
7132,8657
7132,8758
7132,6457
7132,6266
7132,6138
7132,6138
7132,6138
7132,348
7132,348
7132,348
7134,8657
7134,8758
7134,6457
7134,6266
7134,6138
7134,6138
7134,6138
7134,348
7134,348
7134,348
8657,8758
8657,6457
8657,6266
8657,6138
8657,6138
8657,6138
8657,348
8657,348
8657,348
8758,6457
8758,6266
8758,6138
8758,6138
8758,6138
8758,348
8758,348
8758,348
6457,6266
6457,6138
6457,6138
6457,6138
6457,348
6457,348
6457,348
6266,6138
6266,6138
6266,6138
6266,348
6266,348
6266,348
6138,6138
6138,6138
6138,348
6138,348
6138,348
6138,6138
6138,348
6138,348
6138,348
6138,348
6138,348
6138,348
348,348
348,348
348,348
